,Paises,Casos Totales,Casos Nuevos,Fallecidos Totales,Fallecidos Nuevos,Recuperados Totales,Recuperados Nuevos,Casos Activos,Estado Critico,Pruebas Totales
169,Liberia,1442,,82.0,,1310.0,,50.0,2.0,30332.0
170,Niger,1243,,69.0,,1144.0,,30.0,9.0,39562.0
171,Vietnam,1215,2.0,35.0,,1087.0,17.0,93.0,,1246480.0
172,Curaçao,1097,,2.0,,816.0,,279.0,1.0,14394.0
173,San Marino,1043,,42.0,,754.0,,247.0,2.0,11257.0
174,Sao Tome and Principe,962,,16.0,,912.0,,34.0,,6653.0
175,Channel Islands,921,,48.0,,766.0,,107.0,10.0,165849.0
176,Sint Maarten,890,,23.0,,787.0,,80.0,6.0,6982.0
177,Gibraltar,805,12.0,,,692.0,7.0,113.0,1.0,72419.0
178,Liechtenstein,801,13.0,3.0,,565.0,84.0,233.0,15.0,9155.0
179,Diamond Princess,712,,13.0,,659.0,,40.0,4.0,
180,Turks and Caicos,707,,6.0,,691.0,,10.0,1.0,5032.0
181,Burundi,614,2.0,1.0,,549.0,,64.0,,56870.0
182,Saint Martin,604,,12.0,,522.0,,70.0,4.0,6373.0
183,Papua New Guinea,599,,7.0,,585.0,,7.0,,29466.0
184,Taiwan,578,1.0,7.0,,526.0,2.0,45.0,,104017.0
185,Comoros,563,,7.0,,532.0,,24.0,,
186,Tanzania,509,,21.0,,183.0,,305.0,7.0,
187,Faeroe Islands,497,,,,493.0,,4.0,,157945.0
188,Eritrea,491,,,,438.0,,53.0,,
189,Monaco,486,,2.0,,345.0,,139.0,5.0,51953.0
190,Mauritius,453,,10.0,,416.0,,27.0,,278091.0
191,Mongolia,368,6.0,,,317.0,,51.0,1.0,94089.0
192,Bhutan,359,,,,338.0,,21.0,,181444.0
193,Isle of Man,357,,24.0,,326.0,,7.0,,16578.0
194,Cambodia,297,2.0,,,288.0,,9.0,,196194.0
195,Cayman Islands,250,,1.0,,236.0,,13.0,1.0,48314.0
196,Barbados,242,,7.0,,228.0,,7.0,,38521.0
197,Bermuda,209,,9.0,,181.0,,19.0,,90738.0
198,Seychelles,158,,,,155.0,,3.0,,5200.0
199,Caribbean Netherlands,154,,3.0,,145.0,,6.0,,3353.0
200,Brunei ,148,,3.0,,144.0,,1.0,,69973.0
202,Saint Lucia,131,,,,32.0,,99.0,,12218.0
201,Antigua and Barbuda,131,,3.0,,122.0,,6.0,,3905.0
203,St. Barth,90,,,,77.0,,13.0,,3808.0
204,St. Vincent Grenadines,76,,,,72.0,,4.0,,7593.0
205,British Virgin Islands,71,,1.0,,70.0,,0.0,,5193.0
206,Dominica,63,,,,35.0,,28.0,,4765.0
207,Macao,46,,,,46.0,,0.0,,4238.0
208,Fiji,34,,2.0,,31.0,,1.0,,13413.0
209,Grenada,32,2.0,,,27.0,,5.0,,6252.0
210,Timor-Leste,30,,,,29.0,,1.0,,11268.0
211,New Caledonia,29,,,,28.0,,1.0,,15946.0
212,Vatican City,27,,,,15.0,,12.0,,
213,Laos,24,,,,23.0,,1.0,,68128.0
214,Saint Kitts and Nevis,19,,,,19.0,,0.0,,3138.0
215,Greenland,17,,,,17.0,,0.0,,11467.0
216,Saint Pierre Miquelon,16,,,,12.0,,4.0,,2519.0
217,Solomon Islands,16,3.0,,,5.0,1.0,11.0,,115.0
218,Montserrat,13,,1.0,,12.0,,0.0,,483.0
219,Falkland Islands,13,,,,13.0,,0.0,,3417.0
220,Western Sahara,10,,1.0,,8.0,,1.0,,
221,MS Zaandam,9,,2.0,,,,7.0,,
222,Anguilla,3,,,,3.0,,0.0,,1820.0
223,Marshall Islands,1,,,,,,1.0,,
224,Wallis and Futuna,1,,,,1.0,,0.0,,1149.0
